R = 21, S =  0, Avg = 0.000000
	 0	 0	 0	 0	 0
	 0	 0
R =  2, S =  1, Avg = -12.989473
	-14	-14	-16	-11	-10
	-10	-9	-14	-9	-10
	-11	-13	-11	-14	-15
	-14	-11	-15	-14	-14
	-15	-15	-14	-14	-13
	-14	-13	-12	-13	-14
	-14	-12	-12	-14	-14
	-14	-9	-14	-14	-13
	-14	-14	-14	-14	-14
	-15	-12	-9	-16	-11
	-11	-11	-9	-14	-14
	-14	-14	-14	-14	-11
	-10	-11	-11	-15	-14
	-12	-13	-12	-14	-14
	-12	-12	-12	-13	-13
	-12	-14	-13	-13	-14
	-13	-14	-14	-14	-13
	-14	-13	-14	-14	-13
	-12	-14	-12	-14	-14
	-13	-13	-14	-13	-12
	-12	-12	-12	-12	-13
	-13	-13	-13	-12	-12
	-12	-12	-11	-13	-13
	-13	-14	-14	-14	-14
	-14	-12	-14	-13	-13
	-13	-13	-14	-13	-13
	-14	-13	-13	-14	-13
	-12	-12	-13	-13	-14
	-13	-13	-13	-12	-13
	-13	-12	-12	-12	-12
	-12	-12	-12	-13	-13
	-14	-14	-13	-13	-12
	-12	-12	-12	-12	-12
	-12	-12	-14	-13	-13
	-12	-13	-14	-13	-13
	-14	-13	-14	-9	-14
	-14	-14	-15	-14	-14
	-14	-14	-15	-15	-14
	-14	-13	-13	-13	-13
	-13	-13	-12	-13	-12
	-13	-12	-12	-13	-9
	-15	-14	-19	-10	-9
	-10	-14	-14	-13	-13
	-14	-14	-13	-13	-12
	-13	-12	-12	-12	-12
	-13	-12	-12	-13	-12
	-12	-12	-12	-12	-12
	-12	-14	-12	-13	-13
	-13	-14	-14	-12	-12
	-12	-12	-13	-13	-13
	-13	-13	-13	-12	-12
	-13	-13	-13	-13	-13
	-13	-14	-14	-14	-14
	-14	-12	-12	-12	-14
	-14	-14	-14	-13	-12
	-12	-13	-14	-14	-12
	-13	-14	-13	-13	-13
	-13	-13	-12	-12	-13
	-13	-13	-13	-13	-13
	-13	-13	-13	-13	-12
	-12	-12	-12	-12	-12
	-12	-14	-14	-14	-12
	-14	-14	-13	-13	-13
	-13	-12	-12	-12	-12
	-12	-12	-12	-12	-12
	-12	-12	-13	-13	-14
	-14	-14	-14	-12	-14
	-12	-12	-15	-13	-15
	-13	-14	-14	-14	-14
	-14	-14	-14	-14	-14
	-14	-15	-16	-15	-15
	-14	-15	-15	-15	-15
	-15	-15	-14	-9	-14
	-14	-13	-13	-15	-12
	-14	-14	-14	-12	-12
	-12	-14	-12	-12	-12
R =  4, S =  1, Avg = -19.065088
	-21	-24	-23	-21	-21
	-19	-19	-19	-19	-23
	-21	-19	-20	-21	-21
	-19	-19	-19	-20	-21
	-25	-24	-20	-21	-21
	-21	-19	-19	-18	-19
	-19	-19	-19	-18	-19
	-18	-19	-17	-18	-18
	-18	-19	-18	-19	-20
	-19	-21	-21	-21	-21
	-19	-19	-19	-20	-21
	-21	-21	-20	-19	-19
	-19	-19	-21	-24	-24
	-19	-19	-18	-18	-18
	-18	-17	-17	-17	-18
	-19	-19	-19	-19	-19
	-17	-18	-18	-17	-17
	-19	-20	-19	-21	-21
	-19	-20	-19	-18	-19
	-19	-19	-19	-19	-20
	-19	-18	-17	-19	-19
	-19	-19	-19	-19	-18
	-18	-18	-18	-18	-18
	-18	-20	-20	-19	-20
	-19	-20	-19	-19	-19
	-19	-19	-19	-18	-18
	-18	-18	-18	-19	-19
	-19	-20	-20	-20	-18
	-19	-18	-18	-18	-19
	-19	-19	-19	-19	-18
	-19	-18	-18	-18	-18
	-18	-17	-18	-17	-17
	-17	-17	-17	-17	-17
	-17	-17	-17	-17
R =  5, S =  1, Avg = -13.264957
	-11	-11	-14	-14	-12
	-12	-12	-15	-15	-11
	-12	-15	-11	-11	-11
	-11	-15	-16	-15	-11
	-11	-10	-16	-11	-12
	-16	-15	-16	-16	-13
	-17	-17	-16	-16	-11
	-16	-15	-15	-12	-16
	-15	-15	-16	-11	-15
	-15	-17	-13	-16	-17
	-17	-18	-17	-16	-14
	-18	-16	-17	-14	-14
	-15	-15	-14	-13	-15
	-15	-13	-13	-12	-15
	-15	-15	-12	-11	-10
	-10	-15	-17	-15	-15
	-10	-11	-11	-11	-11
	-11	-10	-10	-10	-11
	-11	-11	-11	-11	-11
	-11	-11	-11	-11	-13
	-11	-12	-12	-12	-12
	-11	-12	-11	-15	-10
	-16	-11	-11	-12	-14
	-12	-12
R =  1, S =  2, Avg = -21.242884
	-21	-23	-23	-23	-23
	-19	-23	-23	-23	-23
	-23	-23	-19	-23	-23
	-23	-23	-23	-23	-23
	-19	-25	-25	-25	-25
	-25	-25	-26	-19	-25
	-25	-24	-24	-23	-23
	-23	-19	-23	-23	-23
	-22	-22	-22	-19	-22
	-22	-22	-22	-22	-22
	-22	-22	-19	-22	-21
	-21	-21	-21	-21	-21
	-21	-23	-23	-23	-23
	-19	-23	-23	-23	-22
	-22	-22	-22	-19	-21
	-21	-21	-21	-21	-21
	-22	-22	-23	-23	-23
	-23	-23	-19	-24	-24
	-23	-23	-19	-23	-23
	-22	-22	-19	-23	-25
	-25	-23	-19	-23	-19
	-21	-21	-21	-21	-19
	-21	-21	-21	-21	-21
	-21	-19	-21	-21	-21
	-21	-21	-21	-21	-21
	-19	-21	-21	-21	-19
	-21	-21	-21	-19	-21
	-21	-21	-19	-19	-22
	-23	-23	-19	-19	-21
	-21	-21	-19	-20	-20
	-21	-21	-20	-20	-19
	-19	-20	-20	-19	-20
	-20	-21	-21	-19	-19
	-19	-21	-21	-19	-21
	-21	-21	-21	-19	-21
	-21	-21	-21	-21	-21
	-21	-21	-21	-19	-21
	-21	-21	-21	-21	-19
	-21	-21	-21	-21	-21
	-21	-21	-21	-21	-21
	-21	-19	-21	-21	-21
	-19	-21	-21	-21	-21
	-21	-19	-21	-21	-21
	-21	-21	-19	-21	-21
